longitude,latitude,scientific_name,year,month,day,taxon_key,dataset_key
80.48999,22.306522,Semnopithecus entellus,2025.0,1.0,25.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
83.168614,19.907854,Semnopithecus entellus,2025.0,1.0,31.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.593852,22.328973,Semnopithecus entellus,2025.0,1.0,28.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.588489,22.334479,Semnopithecus entellus,2025.0,1.0,27.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
82.030109,22.194074,Semnopithecus entellus,2025.0,2.0,13.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
82.769528,21.335722,Semnopithecus entellus,2025.0,2.0,18.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
83.448753,18.148483,Semnopithecus entellus,2025.0,3.0,2.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
79.986591,21.24817,Semnopithecus entellus,2025.0,3.0,17.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.007077,21.185143,Semnopithecus entellus,2025.0,3.0,15.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
86.99078,23.396559,Semnopithecus entellus,2025.0,3.0,2.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
88.308123,22.480067,Semnopithecus entellus,2025.0,4.0,27.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
86.987433,23.395141,Semnopithecus entellus,2025.0,4.0,27.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
86.956353,23.724916,Semnopithecus entellus,2025.0,4.0,12.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.647506,22.167269,Semnopithecus entellus,2025.0,4.0,10.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.521153,22.308592,Semnopithecus entellus,2025.0,4.0,26.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
86.974546,23.396815,Semnopithecus entellus,2025.0,4.0,27.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
87.877971,22.647612,Semnopithecus entellus,2025.0,4.0,6.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
80.586428,22.299496,Semnopithecus entellus,2025.0,4.0,12.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.824887,20.403959,Semnopithecus entellus,2025.0,5.0,20.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
88.228679,22.814843,Semnopithecus entellus,2025.0,5.0,17.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
88.194734,22.493022,Semnopithecus entellus,2025.0,5.0,30.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.358222,23.33512,Semnopithecus entellus,2025.0,5.0,12.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.246372,19.536164,Semnopithecus entellus,2025.0,5.0,17.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
81.777027,21.092571,Semnopithecus entellus,2025.0,6.0,19.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
88.762087,23.186178,Semnopithecus entellus,2025.0,6.0,9.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
87.970832,22.435544,Semnopithecus entellus,2025.0,6.0,7.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.825964,20.39577,Semnopithecus entellus,2025.0,6.0,14.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
81.778473,21.088848,Semnopithecus entellus,2025.0,6.0,19.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.823503,20.384792,Semnopithecus entellus,2025.0,6.0,20.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
84.272485,23.899814,Semnopithecus entellus,2025.0,7.0,30.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
84.272706,23.900207,Semnopithecus entellus,2025.0,7.0,30.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
85.047508,24.73673,Semnopithecus entellus,2025.0,7.0,3.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
82.039434,20.793976,Semnopithecus entellus,2025.0,8.0,26.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
81.084364,22.177488,Semnopithecus entellus,2025.0,8.0,15.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
88.374634,22.667635,Semnopithecus entellus,2025.0,9.0,1.0,2436564,50c9509d-22c7-4a22-a47d-8c48425ef4a7
