chrom,start,end,midpoint,window_size,P1,P2,P3,outgroup,D,Z,sites_used,ABBA,BABA,passes_qc,abs_D,abs_Z
CM017351.1,1,100000,50000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,50001,150000,100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,100001,200000,150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,150001,250000,200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,200001,300000,250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,250001,350000,300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,300001,400000,350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,350001,450000,400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,400001,500000,450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,450001,550000,500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,500001,600000,550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,550001,650000,600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,600001,700000,650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,650001,750000,700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,700001,800000,750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,750001,850000,800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,800001,900000,850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,850001,950000,900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,900001,1000000,950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,950001,1050000,1000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1000001,1100000,1050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1050001,1150000,1100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1100001,1200000,1150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1150001,1250000,1200000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1200001,1300000,1250000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1250001,1350000,1300000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1300001,1400000,1350000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1350001,1450000,1400000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1400001,1500000,1450000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1450001,1550000,1500000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1500001,1600000,1550000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1550001,1650000,1600000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1600001,1700000,1650000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1650001,1750000,1700000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1700001,1800000,1750000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1750001,1850000,1800000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1800001,1900000,1850000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1850001,1950000,1900000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1900001,2000000,1950000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,1950001,2050000,2000000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2000001,2100000,2050000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2050001,2150000,2100000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
CM017351.1,2100001,2200000,2150000,100000,geei,phayrei,pileatus,entellus,,,0,0,0,False,,
